,index_x,state,act2018_partic,act2018_comp,sat2018_partic,sat2018_erw,sat2018_math,sat2018_total,sat2017_partic,sat2017_erw,sat2017_math,sat2017_total,index_y,act2017_partic,act2017_english,act2017_math,act2017_reading,act2017_sci,act2017_comp
38,39,Pennsylvania,0.2,23.5,0.7,547,539,1086,0.65,540,531,1071,39,0.23,23.4,23.4,24.2,23.3,23.7
39,40,Rhode Island,0.15,24.2,0.97,513,505,1018,0.71,539,524,1062,40,0.21,24.0,23.3,24.7,23.4,24.0
40,41,South Carolina,1.0,18.3,0.55,547,523,1070,0.5,543,521,1064,41,1.0,17.5,18.6,19.1,18.9,18.7
41,42,South Dakota,0.77,21.9,0.03,622,618,1240,0.03,612,603,1216,42,0.8,20.7,21.5,22.3,22.0,21.8
42,43,Tennessee,1.0,19.6,0.06,624,607,1231,0.05,623,604,1228,43,1.0,19.5,19.2,20.1,19.9,19.8
43,44,Texas,0.45,20.7,0.66,520,512,1032,0.62,513,507,1020,44,0.45,19.5,20.7,21.1,20.9,20.7
44,45,Utah,1.0,20.4,0.04,480,530,1010,0.03,624,614,1238,45,1.0,19.5,19.9,20.8,20.6,20.3
45,46,Vermont,0.24,24.1,0.64,565,554,1120,0.6,562,551,1114,46,0.29,23.3,23.1,24.4,23.2,23.6
46,47,Virginia,0.24,23.9,0.68,567,550,1117,0.65,561,541,1102,47,0.29,23.5,23.3,24.6,23.5,23.8
47,48,Washington,0.24,22.2,0.69,543,538,1081,0.64,541,534,1075,48,0.29,20.9,21.9,22.1,22.0,21.9
48,49,West Virginia,0.65,20.3,0.28,513,486,999,0.14,558,528,1086,49,0.69,20.0,19.4,21.2,20.5,20.4
49,50,Wisconsin,1.0,20.5,0.03,641,653,1294,0.03,642,649,1291,50,1.0,19.7,20.4,20.6,20.9,20.5
50,51,Wyoming,1.0,20.0,0.03,633,625,1257,0.03,626,604,1230,51,1.0,19.4,19.8,20.8,20.6,20.2
